movie_name,rating,votes,gross,rank
1. The Shawshank Redemption (1994),9.3,2707309,28.34,1
2. The Godfather (1972),9.2,1880128,134.97,2
3. The Dark Knight (2008),9,2680639,534.86,3
4. Schindler's List (1993),9,1368098,96.9,6
5. The Lord of the Rings: The Return of the King (2003),9,1863589,377.85,7
6. The Godfather Part II (1974),9,1283767,57.3,4
7. 12 Angry Men (1957),9,799769,4.36,5
8. Pulp Fiction (1994),8.9,2078478,107.93,8
9. The Lord of the Rings: The Fellowship of the Ring (2001),8.8,1893072,315.54,9
10. Inception (2010),8.8,2378639,292.58,14
11. Fight Club (1999),8.8,2151639,37.03,12
12. Forrest Gump (1994),8.8,2103503,330.25,11
13. The Lord of the Rings: The Two Towers (2002),8.8,1682737,342.55,13
"14. Il buono, il brutto, il cattivo (1966)",8.8,768606,6.1,10
15. GoodFellas (1990),8.7,1174273,46.84,17
16. The Matrix (1999),8.7,1931694,171.48,16
17. One Flew Over the Cuckoo's Nest (1975),8.7,1016328,112,18
18. The Empire Strikes Back (1980),8.7,1304308,290.48,15
19. Interstellar (2014),8.6,1865807,188.02,25
20. The Silence of the Lambs (1991),8.6,1447448,130.74,22
21. Se7en (1995),8.6,1671688,100.13,19
22. The Green Mile (1999),8.6,1316066,136.8,27
23. Saving Private Ryan (1998),8.6,1405053,216.54,23
24. Star Wars (1977),8.6,1376696,322.74,28
25. Terminator 2: Judgment Day (1991),8.6,1109765,204.84,29
26. Sen to Chihiro no kamikakushi (2001),8.6,774748,10.06,31
27. Cidade de Deus (2002),8.6,763067,7.56,24
28. La vita è bella (1997),8.6,702655,57.6,26
29. It's a Wonderful Life (1946),8.6,467263,NA,21
30. Shichinin no samurai (1954),8.6,349140,0.27,20
31. Seppuku (1962),8.6,59185,NA,44
32. Whiplash (2014),8.5,881533,13.09,42
33. Gisaengchung (2019),8.5,826079,53.37,34
34. Back to the Future (1985),8.5,1219667,210.61,30
35. Gladiator (2000),8.5,1515481,187.71,37
36. The Departed (2006),8.5,1338224,132.38,39
37. The Prestige (2006),8.5,1346825,53.09,41
38. Apocalypse Now (1979),8.5,674531,83.47,53
39. Léon (1994),8.5,1173734,19.5,35
40. Alien (1979),8.5,891945,78.9,51
41. The Usual Suspects (1995),8.5,1094083,23.34,40
42. The Lion King (1994),8.5,1069994,422.78,36
43. American History X (1998),8.5,1131900,6.72,38
44. The Pianist (2002),8.5,842548,32.57,32
45. The Intouchables (2011),8.5,869093,13.18,46
46. Once Upon a Time in the West (1968),8.5,333452,5.32,48
47. Casablanca (1942),8.5,577080,1.02,43
48. Psycho (1960),8.5,678696,32,33
49. Hotaru no haka (1988),8.5,281985,NA,45
50. Nuovo Cinema Paradiso (1988),8.5,264613,11.99,50
